iShares Russell 1000 Value ETF
Fund Holdings as of,"Oct 31, 2023"
Inception Date,"May 22, 2000"
Shares Outstanding,"318,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","112,201,220.60","0.24","112,201,220.60","1,815,260.00","61.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","110,095,350.12","0.24","110,095,350.12","1,334,004.00","82.53","United States","NASDAQ","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","109,006,341.60","0.23","109,006,341.60","3,168,789.00","34.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","108,099,369.00","0.23","108,099,369.00","1,292,900.00","83.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","104,997,778.14","0.22","104,997,778.14","2,223,587.00","47.22","United States","NASDAQ","USD","1.00","USD","-"
"CARR","CARRIER GLOBAL CORP","Industrials","Equity","103,314,393.08","0.22","103,314,393.08","2,167,738.00","47.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","101,251,851.96","0.22","101,251,851.96","1,340,374.00","75.54","United States","NASDAQ","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","100,999,230.40","0.22","100,999,230.40","1,683,040.00","60.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","100,734,207.00","0.22","100,734,207.00","3,572,135.00","28.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","100,728,317.58","0.22","100,728,317.58","2,586,757.00","38.94","United States","NASDAQ","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","100,441,897.92","0.21","100,441,897.92","599,868.00","167.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","99,907,897.95","0.21","99,907,897.95","986,355.00","101.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GIS","GENERAL MILLS INC","Consumer Staples","Equity","99,727,560.24","0.21","99,727,560.24","1,528,626.00","65.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","99,566,288.25","0.21","99,566,288.25","10,211,927.00","9.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","99,457,454.40","0.21","99,457,454.40","218,415.00","455.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","99,428,407.79","0.21","99,428,407.79","1,389,247.00","71.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","97,887,631.24","0.21","97,887,631.24","3,451,609.00","28.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNC","CENTENE CORP","Health Care","Equity","97,096,385.96","0.21","97,096,385.96","1,407,602.00","68.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NUE","NUCOR CORP","Materials","Equity","96,802,302.21","0.21","96,802,302.21","654,999.00","147.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","96,611,801.92","0.21","96,611,801.92","776,872.00","124.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","96,375,194.39","0.21","96,375,194.39","184,031.00","523.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","96,260,799.48","0.21","96,260,799.48","852,469.00","112.92","United States","NASDAQ","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","95,433,341.40","0.20","95,433,341.40","422,010.00","226.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","93,863,173.41","0.20","93,863,173.41","113,349.00","828.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCI","CROWN CASTLE INC","Real Estate","Equity","93,588,740.06","0.20","93,588,740.06","1,006,547.00","92.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","90,719,967.92","0.19","90,719,967.92","2,635,676.00","34.42","United States","NASDAQ","USD","1.00","USD","-"
"CTVA","CORTEVA INC","Materials","Equity","89,351,835.62","0.19","89,351,835.62","1,856,083.00","48.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIIB","BIOGEN INC","Health Care","Equity","89,039,968.68","0.19","89,039,968.68","374,842.00","237.54","United States","NASDAQ","USD","1.00","USD","-"
"DOW","DOW INC","Materials","Equity","89,015,983.04","0.19","89,015,983.04","1,841,456.00","48.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STZ","CONSTELLATION BRANDS INC CLASS A","Consumer Staples","Equity","88,313,418.90","0.19","88,313,418.90","377,166.00","234.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","88,296,631.50","0.19","88,296,631.50","492,150.00","179.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","88,283,521.44","0.19","88,283,521.44","120,996.00","729.64","United States","NASDAQ","USD","1.00","USD","-"
"EA","ELECTRONIC ARTS INC","Communication","Equity","88,232,189.03","0.19","88,232,189.03","712,757.00","123.79","United States","NASDAQ","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","87,707,692.80","0.19","87,707,692.80","2,175,290.00","40.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","87,635,112.84","0.19","87,635,112.84","1,787,742.00","49.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","87,436,680.78","0.19","87,436,680.78","682,406.00","128.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","87,325,017.12","0.19","87,325,017.12","954,998.00","91.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DD","DUPONT DE NEMOURS INC","Materials","Equity","87,059,532.80","0.19","87,059,532.80","1,194,560.00","72.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","86,230,672.50","0.18","86,230,672.50","2,028,957.00","42.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","85,209,547.71","0.18","85,209,547.71","1,321,693.00","64.47","United States","NASDAQ","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","84,969,175.65","0.18","84,969,175.65","1,433,595.00","59.27","United States","NASDAQ","USD","1.00","USD","-"
"PCG","PG&E CORP","Utilities","Equity","84,685,101.50","0.18","84,685,101.50","5,195,405.00","16.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","84,521,091.60","0.18","84,521,091.60","809,589.00","104.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AME","AMETEK INC","Industrials","Equity","84,234,374.91","0.18","84,234,374.91","598,383.00","140.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"O","REALTY INCOME REIT CORP","Real Estate","Equity","83,051,833.44","0.18","83,051,833.44","1,752,888.00","47.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KMI","KINDER MORGAN INC","Energy","Equity","82,670,641.20","0.18","82,670,641.20","5,103,126.00","16.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","79,794,367.80","0.17","79,794,367.80","368,906.00","216.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RSG","REPUBLIC SERVICES INC","Industrials","Equity","79,794,516.77","0.17","79,794,516.77","537,373.00","148.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","79,767,147.15","0.17","79,767,147.15","1,293,871.00","61.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","79,488,300.18","0.17","79,488,300.18","417,678.00","190.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","79,255,056.20","0.17","79,255,056.20","902,780.00","87.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OTIS","OTIS WORLDWIDE CORP","Industrials","Equity","78,145,013.10","0.17","78,145,013.10","1,012,110.00","77.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","77,666,612.93","0.17","77,666,612.93","407,549.00","190.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DVN","DEVON ENERGY CORP","Energy","Equity","77,657,337.80","0.17","77,657,337.80","1,667,540.00","46.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
